YEAR,H_freq,H_avg,W_freq,W_avg,AQ,T,Park
1997,0,0,10,0,38.28,45.03,1
1998,0,0,2,0,48.92,47.83,1
1999,1,3.5,1,0,46.92,50.69,1
2000,0,0,1,0,40.22,39.24,1
2001,0,0,11,0,45.92,49.44,1
2002,0,0,5,0,46.57,43.64,1
2003,0,0,3,1,44.52,51.59,1
2004,0,0,5,2.2,41.28,46.7,1
2005,1,3.5,3,1.3,42.61,47.48,1
2006,0,0,0,0,42.18,49.82,1
2007,1,3.5,1,2,41.99,46.48,1
2008,1,3.5,0,0,40.59,46.57,1
2009,0,0,1,1,38.65,47.07,1
2010,0,0,1,2,40.19,44.77,1
1997,2,2,7,0,56.11,61.67,2
1998,2,3.25,6,0,35.97,63.65,2
1999,3,4,1,0,55.56,63.49,2
2000,1,2,2,0,61.43,62.15,2
2001,1,1,4,0,35.54,63.04,2
2002,3,1.67,0,0,57.7,64.61,2
2003,1,4,5,1,43.92,62.91,2
2004,4,3,4,3,44.21,63.51,2
2005,1,3,1,2,45.36,62.47,2
2006,1,3.5,0,0,46.71,63.32,2
2007,2,2.25,5,2.2,44.94,64.18,2
2008,1,2,9,1,46.44,63.36,2
2009,0,0,3,1,39,62.63,2
2010,0,0,0,0,42.79,55.29,2
1997,0,0,0,0,39.32,36.28,3
1998,0,0,0,0,35.05,35.66,3
1999,0,0,0,0,33.71,31.91,3
2000,0,0,0,0,29.97,35.95,3
2001,0,0,0,0,31.58,34.88,3
2002,0,0,0,0,32.97,37.25,3
2003,0,0,0,0,29.18,37.53,3
2004,0,0,0,0,28.28,36.82,3
2005,0,0,0,0,27.12,37.54,3
2006,0,0,0,0,26.13,35.29,3
2007,0,0,0,0,24.38,36.17,3
2008,0,0,0,0,23.69,33.96,3
2009,0,0,0,0,34.77,36.1,3
2010,0,0,0,0,35.56,32.8,3
1997,0,0,70,0,66.26,0,4
1998,0,0,11,0,42.5,41.15,4
1999,0,0,21,0,48.58,48.45,4
2000,0,0,7,0,58.83,47.63,4
2001,0,0,16,0,43.67,47.33,4
2002,0,0,28,0,46.17,47.92,4
2003,0,0,18,0.89,59.42,49.55,4
2004,0,0,16,0.81,57.5,50.03,4
2005,0,0,18,1,61.42,48.79,4
2006,0,0,16,1,67.42,48.48,4
2007,0,0,20,1.05,65.75,47.83,4
2008,0,0,42,1,64.17,46.77,4
2009,0,0,26,1,60.33,47.61,4
2010,0,0,11,1,51.25,48.05,4
1997,0,0,2,0,92.17,71.7,5
1998,2,2,2,0,108.5,74.58,5
1999,1,6,2,0,117.08,75.21,5
2000,0,0,0,0,108.42,75.72,5
2001,0,0,2,0,114.33,73.95,5
2002,2,1.5,0,0,120.17,75.01,5
2003,1,3,0,0,113.67,73.8,5
2004,0,0,2,1,96.5,75.23,5
2005,0,0,9,1,84.5,75.49,5
2006,0,0,3,1,96.08,79.43,5
2007,1,2,2,1,86.17,74.61,5
2008,1,4,2,1,107,73.32,5
2009,0,0,2,1,74.42,71.08,5
2010,1,2,1,1,86.83,60.3,5
